NC_Name,Population,Median_Income
Arleta,36823,73506
Arroyo Seco,19861,68962
Atwater Village,14694,68734
Bel Air-Beverly Crest,27734,200001
Boyle Heights,87002,37391
CANNDU,47179,36348
Canoga Park,53365,53463
Central Alameda,32367,34201
Central Hollywood,18788,46874
Central San Pedro,30509,41857
Chatsworth,34665,91427
Coastal San Pedro,28510,76760
Del Rey,33202,81832
Downtown Los Angeles,55775,38025
Eagle Rock,31460,79727
East Hollywood,47555,36570
Echo Park,46211,54776
Elysian Valley Riverside,7239,53560
Empowerment Congress Central,44553,39768
Empowerment Congress North,76814,29508
Empowerment Congress Southeast,78290,35067
Empowerment Congress Southwest,28763,50674
Empowerment Congress West,38321,43145
Encino,45843,99490
Foothill Trails District,22499,79516
Glassell Park,23352,62600
Granada Hills North,26015,111506
Granada Hills South,36579,76544
Greater Cypress Park,14045,51296
Greater Toluca Lake,12433,86673
Greater Valley Glen,48672,56989
Greater Wilshire,50603,69507
Harbor City,24723,61434
Harbor Gateway North,35635,45070
Harbor Gateway South,23131,53184
Hermon,3640,65595
Arts District Little Tokyo,7535,67994
Historic Cultural North,21633,27892
Historic Highland Park,57024,58065
Hollywood Hills West,42203,66039
Hollywood Studio District,31632,37165
Hollywood United,20920,59527
LA32,46205,53898
Lake Balboa,44254,59108
Lincoln Heights,33569,39205
Los Feliz,33579,70119
MacArthur Park,30127,29255
Mar Vista,51338,81525
Mid City,29997,47442
Mid City West,61557,84819
Mission Hills,23438,71289
NoHo,53942,55447
North Hills East,41085,43967
North Hills West,13664,92552
North Hollywood Northeast,53992,48126
North Hollywood West,21430,53680
North Westwood,29226,30542
Northridge East,27815,81797
Northridge South,32925,70743
Northridge West,22813,95715
Northwest San Pedro,21890,96412
Olympic Park,19434,49832
P.I.C.O.,22168,76724
Pacoima,78334,52314
Palms,29538,63431
Panorama City,69968,45222
Park Mesa Heights,36738,38944
Pico Union,41107,31990
Porter Ranch,23167,122317
Rampart Village,25015,44367
Reseda,71045,60183
Sherman Oaks,67412,90160
Silver Lake,33197,78542
South Central,45275,34952
South Robertson,43901,78917
Studio City,35737,103953
Sun Valley,49959,58558
Sunland-Tujunga,44030,71737
Sylmar,84748,69989
Tarzana,36171,79354
United Neighborhoods,54027,38616
Valley Village,24718,66034
Van Nuys,86167,44965
Venice,38851,101962
Voices,47958,33421
Watts,41202,29400
West Adams,27572,43599
West Hills,40060,109970
West LA - Sawtelle,33183,80330
Westchester/Playa,64412,102255
Westlake North,26565,26508
Westlake South,23454,25185
Westside,32830,112008
Westwood,24567,123865
Wilmington,55688,47521
Wilshire Center Koreatown,106190,38149
Winnetka,48459,70474
Woodland Hills-Warner Center,76422,96692
Zapata King,54784,30724
